noise_level,max_amplitude,center_distance,above-thld_pixels,above-thld_pixels_std,algorithm,eta,intensity,outer-inner,reg,samples,iters,sample,epsilon,iter
0.2,0.0002667388303231261,[24.37540031 24.69165017],2500,"[[510.2082908]
 [510.2082908]]",TLp-BI,0.001,zeroone,10-100,0.5,5.0,,,,
0.2,0.00026673885758029116,[24.3754003  24.69165019],2500,"[[510.2082908]
 [510.2082908]]",TLp-BI,0.05,minmax,10-100,0.5,5.0,,,,
0.2,0.00026673885758029116,[24.3754003  24.69165019],2500,"[[510.2082908]
 [510.2082908]]",TLp-BI,0.05,zeroone,10-100,0.5,5.0,,,,
0.2,0.00026673888539372435,[24.37540028 24.69165021],2500,"[[510.2082908]
 [510.2082908]]",TLp-BI,0.1,minmax,10-100,0.5,5.0,,,,
0.2,0.00026673888539372435,[24.37540028 24.69165021],2500,"[[510.2082908]
 [510.2082908]]",TLp-BI,0.1,zeroone,10-100,0.5,5.0,,,,
0.2,0.00026673921915487155,[24.37540014 24.69165041],2500,"[[510.2082908]
 [510.2082908]]",TLp-BI,0.7,minmax,10-100,0.5,5.0,,,,
0.2,0.00026673921915487155,[24.37540014 24.69165041],2500,"[[510.2082908]
 [510.2082908]]",TLp-BI,0.7,zeroone,10-100,0.5,5.0,,,,
0.2,0.00017349763126333321,[24.42589533 24.61456153],2500,"[[510.2082908]
 [510.2082908]]",TLp-BI,0.001,minmax,10-100,0.9,5.0,,,,
0.2,0.00017349763126333321,[24.42589533 24.61456153],2500,"[[510.2082908]
 [510.2082908]]",TLp-BI,0.001,zeroone,10-100,0.9,5.0,,,,
0.2,0.00017349764177544333,[24.42589532 24.61456154],2500,"[[510.2082908]
 [510.2082908]]",TLp-BI,0.05,minmax,10-100,0.9,5.0,,,,
0.2,0.00017349764177544333,[24.42589532 24.61456154],2500,"[[510.2082908]
 [510.2082908]]",TLp-BI,0.05,zeroone,10-100,0.9,5.0,,,,
0.2,0.0001734976525020867,[24.42589532 24.61456154],2500,"[[510.2082908]
 [510.2082908]]",TLp-BI,0.1,minmax,10-100,0.9,5.0,,,,
0.2,0.0001734976525020867,[24.42589532 24.61456154],2500,"[[510.2082908]
 [510.2082908]]",TLp-BI,0.1,zeroone,10-100,0.9,5.0,,,,
0.2,0.0001734977812217874,[24.42589527 24.61456162],2500,"[[510.2082908]
 [510.2082908]]",TLp-BI,0.7,minmax,10-100,0.9,5.0,,,,
0.2,0.0001734977812217874,[24.42589527 24.61456162],2500,"[[510.2082908]
 [510.2082908]]",TLp-BI,0.7,zeroone,10-100,0.9,5.0,,,,
0.5,0.001909727820966565,[23.29927076 25.58551337],37,"[[7.94576209]
 [7.09586861]]",TLp-BI,0.001,minmax,10-100,0.001,5.0,,,,
0.5,0.001909727820966565,[23.29927076 25.58551337],37,"[[7.94576209]
 [7.09586861]]",TLp-BI,0.001,zeroone,10-100,0.001,5.0,,,,
0.5,0.001909843964719056,[23.29927705 25.58551121],37,"[[7.94576209]
 [7.09586861]]",TLp-BI,0.05,minmax,10-100,0.001,5.0,,,,
0.5,0.001909843964719056,[23.29927705 25.58551121],37,"[[7.94576209]
 [7.09586861]]",TLp-BI,0.05,zeroone,10-100,0.001,5.0,,,,
0.5,0.0019099625013750806,[23.29928346 25.58550899],37,"[[7.94576209]
 [7.09586861]]",TLp-BI,0.1,minmax,10-100,0.001,5.0,,,,
0.5,0.0019099625013750806,[23.29928346 25.58550899],37,"[[7.94576209]
 [7.09586861]]",TLp-BI,0.1,zeroone,10-100,0.001,5.0,,,,
0.5,0.0019113867252414448,[23.29936052 25.58548244],37,"[[7.94576209]
 [7.09586861]]",TLp-BI,0.7,minmax,10-100,0.001,5.0,,,,
0.5,0.0019113867252414448,[23.29936052 25.58548244],37,"[[7.94576209]
 [7.09586861]]",TLp-BI,0.7,zeroone,10-100,0.001,5.0,,,,
0.5,0.000855863937115492,[23.3723221  26.26537375],576,"[[100.85571377]
 [136.81693974]]",TLp-BI,0.001,minmax,10-100,0.01,5.0,,,,
0.5,0.000855863937115492,[23.3723221  26.26537375],576,"[[100.85571377]
 [136.81693974]]",TLp-BI,0.001,zeroone,10-100,0.01,5.0,,,,
0.5,0.0008558681647685713,[23.37232208 26.26537384],576,"[[100.85571377]
 [136.81693974]]",TLp-BI,0.05,minmax,10-100,0.01,5.0,,,,
0.5,0.0008558681647685713,[23.37232208 26.26537384],576,"[[100.85571377]
 [136.81693974]]",TLp-BI,0.05,zeroone,10-100,0.01,5.0,,,,
0.5,0.000855872478817992,[23.37232207 26.26537393],576,"[[100.85571377]
 [136.81693974]]",TLp-BI,0.1,minmax,10-100,0.01,5.0,,,,
